##File Type: Far field
##File Format: 5
##Source: dipole
##Date: 2019-03-18 11:10:03
** File exported by POSTFEKO version 2018-319328 (x64)

#Configuration Name: StandardConfiguration1
#Request Name: FarField1
#Frequency: 8.66000000E+08
#Coordinate System: Spherical
#No. of Theta Samples: 73
#No. of Phi Samples: 37
#Result Type: Gain
#No. of Header Lines: 1
                 "Theta"           "Phi"             "Re(Etheta)"      "Im(Etheta)"      "Re(Ephi)"        "Im(Ephi)"        "Gain(Theta)"     "Gain(Phi)"       "Gain(Total)"     
                  -1.50000000E+01    5.00000000E+00    2.95015308E-02    4.98136263E-02    3.49099310E-01    5.89457636E-01   -1.93188774E+01    2.14321136E+00    2.17411640E+00   
                  -1.00000000E+01    5.00000000E+00    3.00804730E-02    5.07908131E-02    3.49125378E-01    5.89497441E-01   -1.91501212E+01    2.14381400E+00    2.17593461E+00   
                  -5.00000000E+00    5.00000000E+00    3.04296751E-02    5.13802112E-02    3.49141367E-01    5.89521810E-01   -1.90498967E+01    2.14418310E+00    2.17704798E+00   
                   0.00000000E+00    5.00000000E+00    3.05463840E-02    5.15771957E-02    3.49146767E-01    5.89530044E-01   -1.90166565E+01    2.14430781E+00    2.17742329E+00   
                   5.00000000E+00    5.00000000E+00    3.04296779E-02    5.13802184E-02    3.49141398E-01    5.89521892E-01   -1.90498956E+01    2.14418420E+00    2.17704908E+00   
                   1.00000000E+01    5.00000000E+00    3.00804768E-02    5.07908228E-02    3.49125423E-01    5.89497553E-01   -1.91501197E+01    2.14381552E+00    2.17593613E+00   
                   1.50000000E+01    5.00000000E+00    2.95015342E-02    4.98136316E-02    3.49099351E-01    5.89457699E-01   -1.93188765E+01    2.14321231E+00    2.17411735E+00   
                   2.00000000E+01    5.00000000E+00    2.86974076E-02    4.84563049E-02    3.49064005E-01    5.89403478E-01   -1.95588556E+01    2.14239241E+00    2.17164713E+00   
                   2.50000000E+01    5.00000000E+00    2.76744126E-02    4.67294686E-02    3.49020485E-01    5.89336512E-01   -1.98740696E+01    2.14138055E+00    2.16859989E+00   
                   3.00000000E+01    5.00000000E+00    2.64405603E-02    4.46466142E-02    3.48970118E-01    5.89258853E-01   -2.02701441E+01    2.14020762E+00    2.16506788E+00   
                   3.50000000E+01    5.00000000E+00    2.50054810E-02    4.22239709E-02    3.48914414E-01    5.89172912E-01   -2.07547643E+01    2.13890966E+00    2.16115833E+00   
                   4.00000000E+01    5.00000000E+00    2.33803358E-02    3.94803536E-02    3.48855035E-01    5.89081365E-01   -2.13383585E+01    2.13752653E+00    2.15699009E+00   
                   4.50000000E+01    5.00000000E+00    2.15777168E-02    3.64369925E-02    3.48793758E-01    5.88987040E-01   -2.20351637E+01    2.13610059E+00    2.15268990E+00   
                   5.00000000E+01    5.00000000E+00    1.96115367E-02    3.31173469E-02    3.48732439E-01    5.88892818E-01   -2.28649392E+01    2.13467526E+00    2.14838841E+00   
                   5.50000000E+01    5.00000000E+00    1.74969095E-02    2.95469065E-02    3.48672955E-01    5.88801536E-01   -2.38558446E+01    2.13329368E+00    2.14421624E+00   
                   6.00000000E+01    5.00000000E+00    1.52500239E-02    2.57529844E-02    3.48617142E-01    5.88715917E-01   -2.50495668E+01    2.13199749E+00    2.14030006E+00   
                   6.50000000E+01    5.00000000E+00    1.28880129E-02    2.17645008E-02    3.48566721E-01    5.88638506E-01   -2.65111735E+01    2.13082566E+00    2.13675884E+00   
                   7.00000000E+01    5.00000000E+00    1.04288207E-02    1.76117611E-02    3.48523233E-01    5.88571621E-01   -2.83501171E+01    2.12981354E+00    2.13370038E+00   
                   7.50000000E+01    5.00000000E+00    7.89106871E-03    1.33262281E-02    3.48487987E-01    5.88517295E-01   -3.07720479E+01    2.12899189E+00    2.13121811E+00   
                   8.00000000E+01    5.00000000E+00    5.29392125E-03    8.94029122E-03    3.48462031E-01    5.88477217E-01   -3.42391738E+01    2.12838596E+00    2.12938821E+00   
                   8.50000000E+01    5.00000000E+00    2.65695037E-03    4.48703355E-03    3.48446136E-01    5.88452654E-01   -4.02270295E+01    2.12801466E+00    2.12826716E+00   
